City,Year,TMAX,TMIN,TAVG,PRCP,WIND,EVPR,SUND,SUND5_cum,GDD5_cum,CDD7_cum,CODE0,CODE1,CODE2,CODE3,CODE45,CODE51,CODE53,CODE55,CODE61,CODE63,CODE65,CODE71,CODE73,CODE75,CODE77,CODE80
Kyoto,2025,9.354237288135591,1.0559322033898304,5.205084745762712,2.164406779661017,12.635593220338984,1.799322033898305,8.505742137745763,244.000969458,89.75,159.55,2,5,6,12,1,10,6,3,5,1,0,4,2,1,0,1
Liestal,2025,10.235593220338982,1.5033898305084743,5.869491525423729,1.250847457627119,9.705084745762711,1.2616949152542372,6.474564925016948,238.610736128,112.7,112.15,2,4,1,15,12,5,7,0,5,0,0,0,0,0,1,7
NewYorkCity,2025,7.050847457627119,-1.1796610169491524,2.935593220338983,1.8508474576271183,21.95762711864407,1.8674576271186445,7.729316572372881,131.39778332,44.5,118.85,1,1,3,32,0,5,2,3,0,2,0,2,6,2,0,0
Vancouver,2025,7.701694915254237,2.83728813559322,5.269491525423728,4.840677966101695,15.42542372881356,0.9430508474576272,5.388319585576271,212.794119441,102.6,89.45,1,0,0,23,1,5,4,4,11,5,1,0,3,1,0,0
Washington,2025,9.130508474576272,0.111864406779661,4.621186440677966,3.649152542372881,18.6271186440678,1.8293220338983047,6.9025006593728815,201.01890834,120.05,91.0,0,4,4,27,1,3,3,2,3,4,0,2,3,3,0,0
